Base License Number,Wave Number,Base Name,DBA,Years,Week Number,Pickup Start Date,Pickup End Date,Total Dispatched Trips,Unique Dispatched Vehicle
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,30,7/17/16,7/23/16,"19,975",410
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2017,12,3/19/17,3/25/17,"35,813",694
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,15,4/3/16,4/9/16,"24,201",494
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2015,45,11/1/15,11/7/15,"278,548","6,379"
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2015,52,12/20/15,12/26/15,"63,289","1,800"
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2017,9,2/26/17,3/4/17,"25,163",493
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,6,1/31/16,2/6/16,"65,061","1,566"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2015,43,10/18/15,10/24/15,327,8
B02395,3,ABATAR INC,UBER-ABATAR LLC,2015,39,9/20/15,9/26/15,3,1
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,19,5/1/16,5/7/16,"8,270",183
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,35,8/21/16,8/27/16,"70,851","1,712"
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2017,16,4/16/17,4/22/17,"97,364","2,162"
B02395,3,ABATAR INC,UBER-ABATAR LLC,2017,15,4/9/17,4/15/17,"39,761","1,688"
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,8,2/14/16,2/20/16,"13,746",312
B02512,1,UNTER LLC,UBER-UNTER LLC,2015,53,12/27/15,12/31/15,"8,565",640
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,6,1/31/16,2/6/16,"8,801",239
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,40,9/25/16,10/1/16,"11,586",220
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2015,48,11/22/15,11/28/15,"1,288",50
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,44,10/23/16,10/29/16,"157,294","3,250"
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,12,3/13/16,3/19/16,"1,162",33
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2017,6,2/5/17,2/11/17,"128,101","2,908"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,44,10/23/16,10/29/16,"21,652",433
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2017,4,1/22/17,1/28/17,"222,796","4,621"
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,21,5/15/16,5/21/16,"1,282",24
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,21,5/15/16,5/21/16,"8,928",214
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,21,5/15/16,5/21/16,"1,494",36
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,8,2/14/16,2/20/16,"1,853",34
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,50,12/4/16,12/10/16,"16,957",353
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,50,12/4/16,12/10/16,"250,861","4,819"
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2015,29,7/12/15,7/18/15,747,12
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,24,6/5/16,6/11/16,"313,544","7,586"
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2015,39,9/20/15,9/26/15,"252,727","6,178"
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,16,4/10/16,4/16/16,"2,572",52
B02765,1,GRUN LLC,UBER-GRUN LLC,2017,11,3/12/17,3/18/17,"47,065","1,070"
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,28,7/3/16,7/9/16,"13,080",313
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,13,3/20/16,3/26/16,"1,158",24
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,27,6/26/16,7/2/16,"2,456",69
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,48,11/20/16,11/26/16,"72,137","1,674"
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2015,41,10/4/15,10/10/15,166,4
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,17,4/17/16,4/23/16,"1,469",35
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2017,8,2/19/17,2/25/17,"17,377",399
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2017,12,3/19/17,3/25/17,"20,765",442
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,32,7/31/16,8/6/16,"6,207",122
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,20,5/8/16,5/14/16,"2,248",52
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,3,1/10/16,1/16/16,"56,595","1,505"
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,1,1/1/15,1/3/15,"26,771","1,613"
B02598,1,HINTER LLC,UBER-HINTER LLC,2015,46,11/8/15,11/14/15,"49,514","1,213"
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,47,11/13/16,11/19/16,"16,552",361
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2017,3,1/15/17,1/21/17,"205,964","4,509"
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,11,3/6/16,3/12/16,"15,803",331
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2017,15,4/9/17,4/15/17,"20,546",521
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,37,9/4/16,9/10/16,"19,356",397
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,53,12/25/16,12/31/16,"127,275","3,223"
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2017,1,1/1/17,1/7/17,"16,785",355
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,40,9/25/16,10/1/16,"78,163","1,751"
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,15,4/3/16,4/9/16,"1,744",35
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2017,5,1/29/17,2/4/17,"30,202",681
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,24,6/5/16,6/11/16,"2,812",60
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,14,3/27/16,4/2/16,"79,576","1,676"
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2017,5,1/29/17,2/4/17,"28,022",585
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,52,12/18/16,12/24/16,"23,828",549
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,38,9/11/16,9/17/16,"84,691","1,861"
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,7,2/7/16,2/13/16,763,14
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,5,1/24/16,1/30/16,"125,266","2,762"
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2017,6,2/5/17,2/11/17,"34,391",744
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,27,6/26/16,7/2/16,"3,770",84
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,29,7/12/15,7/18/15,"222,662","6,364"
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,7,2/7/16,2/13/16,"1,409",24
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,33,8/7/16,8/13/16,"10,703",268
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,35,8/21/16,8/27/16,"52,436","1,329"
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,4,1/17/16,1/23/16,334,6
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,23,5/29/16,6/4/16,"13,960",323
B02512,1,UNTER LLC,UBER-UNTER LLC,2017,5,1/29/17,2/4/17,"9,331",394
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2015,49,11/29/15,12/5/15,"276,792","6,409"
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,30,7/17/16,7/23/16,"64,462","1,339"
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,41,10/2/16,10/8/16,"16,977",405
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2015,39,9/20/15,9/26/15,80,2
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,25,6/12/16,6/18/16,"2,934",63
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2017,7,2/12/17,2/18/17,"126,278","2,874"
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2015,53,12/27/15,12/31/15,"2,123",70
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2017,8,2/19/17,2/25/17,"26,657",580
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,48,11/20/16,11/26/16,"10,139",186
B02765,1,GRUN LLC,UBER-GRUN LLC,2015,17,4/19/15,4/25/15,"60,040","1,333"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2017,5,1/29/17,2/4/17,"297,428","8,340"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,41,10/2/16,10/8/16,"2,336",46
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,30,7/17/16,7/23/16,"1,923",47
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2015,49,11/29/15,12/5/15,"133,919","2,979"
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,20,5/8/16,5/14/16,"124,053","2,469"
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,3,1/10/16,1/16/16,"247,858","6,136"
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2017,2,1/8/17,1/14/17,"106,971","2,380"
B02512,1,UNTER LLC,UBER-UNTER LLC,2015,16,4/12/15,4/18/15,"3,223",114
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,44,10/23/16,10/29/16,"61,024","2,433"
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,33,8/7/16,8/13/16,"113,833","2,341"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2017,11,3/12/17,3/18/17,"21,151",413
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2016,19,5/1/16,5/7/16,841,18
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,9,2/21/16,2/27/16,"38,865",844
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,45,10/30/16,11/5/16,"117,189","2,677"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,10,2/28/16,3/5/16,"3,253",69
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2017,16,4/16/17,4/22/17,"20,908",439
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,33,8/7/16,8/13/16,"133,388","3,011"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,43,10/18/15,10/24/15,"266,465","7,353"
B02617,1,WEITER LLC,UBER-WEITER LLC,2017,5,1/29/17,2/4/17,"48,289","1,204"
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2015,38,9/13/15,9/19/15,117,2
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,3,1/10/16,1/16/16,"1,165",36
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2015,44,10/25/15,10/31/15,"2,499",45
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,38,9/11/16,9/17/16,"131,541","3,035"
B02765,1,GRUN LLC,UBER-GRUN LLC,2015,35,8/23/15,8/29/15,"52,418","1,315"
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,39,9/18/16,9/24/16,"101,019","2,336"
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,28,7/3/16,7/9/16,"52,223","1,357"
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,28,7/3/16,7/9/16,"10,045",523
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,51,12/11/16,12/17/16,"30,757",530
B02765,1,GRUN LLC,UBER-GRUN LLC,2015,9,2/22/15,2/28/15,"45,007","1,023"
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,48,11/20/16,11/26/16,"48,918","1,293"
B02765,1,GRUN LLC,UBER-GRUN LLC,2016,47,11/13/16,11/19/16,"54,606","1,279"
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,39,9/18/16,9/24/16,"15,713",332
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,38,9/11/16,9/17/16,"13,214",553
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2015,52,12/20/15,12/26/15,883,18
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,31,7/24/16,7/30/16,"64,538","1,355"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,43,10/16/16,10/22/16,"20,023",424
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2017,10,3/5/17,3/11/17,"38,173",784
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,50,12/4/16,12/10/16,"18,316",361
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2017,1,1/1/17,1/7/17,"67,681","1,682"
B02865,4,"VIER-NY,LLC",UBER-VIER-NY LLC,2016,39,9/18/16,9/24/16,"4,252",99
B02765,1,GRUN LLC,UBER-GRUN LLC,2015,20,5/10/15,5/16/15,"59,800","1,447"
B02512,1,UNTER LLC,UBER-UNTER LLC,2017,4,1/22/17,1/28/17,"10,200",412
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2015,50,12/6/15,12/12/15,319,7
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2015,53,12/27/15,12/31/15,"70,471","2,760"
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,45,10/30/16,11/5/16,"18,110",412
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2015,40,9/27/15,10/3/15,201,4
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,9,2/21/16,2/27/16,"17,437",336
B02866,4,"ZWEI-NY,LLC",UBER-ZWEI-NY LLC,2015,51,12/13/15,12/19/15,"3,835",75
B02872,4,"EINS-NY,LLC","UBER-EINS-NY,LLC",2016,33,8/7/16,8/13/16,"6,554",136
B02765,1,GRUN LLC,UBER-GRUN LLC,2015,41,10/4/15,10/10/15,"58,944","1,448"
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,13,3/20/16,3/26/16,"80,060","1,688"
B02512,1,UNTER LLC,UBER-UNTER LLC,2017,8,2/19/17,2/25/17,"9,349",393
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,34,8/14/16,8/20/16,"304,098","8,079"
B02512,1,UNTER LLC,UBER-UNTER LLC,2015,20,5/10/15,5/16/15,"10,665",386
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2017,9,2/26/17,3/4/17,"331,575","8,500"
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,27,6/26/16,7/2/16,"5,347",117
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,31,7/24/16,7/30/16,"10,863",261
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,15,4/5/15,4/11/15,"70,492","1,790"
B02765,1,GRUN LLC,UBER-GRUN LLC,2015,26,6/21/15,6/27/15,"59,248","1,544"
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,32,7/31/16,8/6/16,"12,783",297
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,38,9/11/16,9/17/16,"334,292","8,873"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,7,2/7/16,2/13/16,"1,782",34
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2015,45,11/1/15,11/7/15,80,4
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2016,23,5/29/16,6/4/16,"1,401",32
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2017,1,1/1/17,1/7/17,"143,780","3,331"
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,5,1/24/16,1/30/16,"3,317",84
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,48,11/20/16,11/26/16,"101,597","2,309"
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2015,41,10/4/15,10/10/15,"1,039",29
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,43,10/16/16,10/22/16,"142,374","3,151"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,51,12/11/16,12/17/16,"24,179",453
B02395,3,ABATAR INC,UBER-ABATAR LLC,2015,37,9/6/15,9/12/15,1,1
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2017,13,3/26/17,4/1/17,"20,257",416
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2016,47,11/13/16,11/19/16,"113,341","2,353"
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2016,53,12/25/16,12/31/16,"60,191","1,614"
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2017,15,4/9/17,4/15/17,"65,151","1,486"
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,16,4/10/16,4/16/16,"50,779","1,140"
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,28,7/3/16,7/9/16,"10,853",275
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2017,12,3/19/17,3/25/17,"71,687","1,540"
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,40,9/25/16,10/1/16,"17,206",345
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,13,3/20/16,3/26/16,"14,512",697
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2017,4,1/22/17,1/28/17,"68,445","1,390"
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2017,14,4/2/17,4/8/17,"98,917","2,201"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,20,5/8/16,5/14/16,"1,771",39
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2017,3,1/15/17,1/21/17,"17,631",385
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2015,44,10/25/15,10/31/15,317,7
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,10,2/28/16,3/5/16,"49,744","1,117"
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2016,37,9/4/16,9/10/16,"131,084","3,092"
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,31,7/24/16,7/30/16,"5,580",99
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,1,1/1/16,1/2/16,"2,656",215
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2017,16,4/16/17,4/22/17,"183,390","4,251"
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2016,46,11/6/16,11/12/16,"219,109","4,783"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,52,12/18/16,12/24/16,"20,869",453
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,29,7/10/16,7/16/16,"5,068",95
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2017,8,2/19/17,2/25/17,"32,435",614
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2017,1,1/1/17,1/7/17,"14,264",362
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2015,50,12/6/15,12/12/15,"292,362","6,328"
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2015,49,11/29/15,12/5/15,509,13
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,25,6/14/15,6/20/15,"74,747","1,817"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,45,11/1/15,11/7/15,"269,763","7,579"
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,19,5/3/15,5/9/15,"212,738","5,701"
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,32,7/31/16,8/6/16,"10,789",300
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2015,43,10/18/15,10/24/15,138,7
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,52,12/18/16,12/24/16,"20,860",474
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2016,51,12/11/16,12/17/16,"131,266","2,519"
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2017,3,1/15/17,1/21/17,"28,509",596
B02835,4,DREIST NY LLC,UBER-DREIST NY LLC,2015,31,7/26/15,8/1/15,"74,398","1,790"
B02883,4,"SECHZEHN-NY, LLC","UBER-SECHZEHN-NY, LLC",2016,8,2/14/16,2/20/16,"6,040",105
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,44,10/23/16,10/29/16,"19,504",406
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,34,8/14/16,8/20/16,"13,772",308
B02884,4,"DREIZEHN-NY, LLC","UBER-DREIZEHN-NY, LLC",2016,12,3/13/16,3/19/16,"3,272",71
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,28,7/3/16,7/9/16,"15,312",344
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,22,5/22/16,5/28/16,"46,014","1,140"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,42,10/9/16,10/15/16,"18,441",429
B02877,4,"ZWOLF-NY, LLC","UBER-ZWOLF-NY, LLC",2015,41,10/4/15,10/10/15,61,2
B02836,4,DRINNEN-NY LLC,UBER-DRINNEN-NY LLC,2015,41,10/4/15,10/10/15,"62,786","1,486"
B02888,4,"SIEBZEHN-NY,LLC","UBER-SIEBZEHN-NY,LLC",2017,8,2/19/17,2/25/17,"96,246","2,350"
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2017,14,4/2/17,4/8/17,"34,448",701
B02889,4,"ACHTZEHN-NY, LLC","UBER-ACHTZEHN-NY, LLC",2016,25,6/12/16,6/18/16,"1,825",42
B02876,4,"VIERZEHN-NY, LLC","UBER-VIERZEHN-NY, LLC",2016,4,1/17/16,1/23/16,"4,480",123
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,24,6/5/16,6/11/16,"66,279","1,487"
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2015,52,12/20/15,12/26/15,"7,003",230
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2017,14,4/2/17,4/8/17,"21,882",537
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2015,31,7/26/15,8/1/15,"234,084","6,644"
B02512,1,UNTER LLC,UBER-UNTER LLC,2015,51,12/13/15,12/19/15,"18,889",802
B02682,1,SCHMECKEN LLC,UBER-SCHMECKEN LLC,2015,10,3/1/15,3/7/15,"90,895","1,919"
B02878,4,"ELF-NY,LLC","UBER-ELF-NY,LLC",2016,19,5/1/16,5/7/16,"16,576",328
B02869,4,"ZEHN-NY,LLC.",UBER-ZEHN-NY LLC,2017,13,3/26/17,4/1/17,"35,907",712
B02867,4,"FUNF-NY, LLC",UBER-FUNF-NY LLC,2015,48,11/22/15,11/28/15,730,15
B02617,1,WEITER LLC,UBER-WEITER LLC,2016,47,11/13/16,11/19/16,"58,133","1,332"
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2016,26,6/19/16,6/25/16,"1,680",41
B02512,1,UNTER LLC,UBER-UNTER LLC,2016,53,12/25/16,12/31/16,"7,565",394
B02887,4,"EINUNDZWANZIG-NY, LLC","UBER-EINUNDZWANZIG-NY, LLC",2017,16,4/16/17,4/22/17,"31,398",585
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,44,10/23/16,10/29/16,"13,348",303
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2016,12,3/13/16,3/19/16,"3,464",87
B02871,4,"ACHT-NY,LLC","UBER-ACHT-NY,LLC",2016,29,7/10/16,7/16/16,"27,281",605
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,11,3/6/16,3/12/16,"48,313","1,115"
B02882,4,"ZWANZIG-NY,LLC","UBER-ZWANZIG-NY,LLC",2016,36,8/28/16,9/3/16,"62,236","1,395"
B02879,4,"FUNFZEHN-NY, LLC","UBER-FUNFZEHN-NY, LLC",2016,23,5/29/16,6/4/16,"8,347",226
B02864,4,"SIEBEN-NY,LLC","UBER-SIEBEN-NY,LLC",2016,38,9/11/16,9/17/16,"57,227","1,348"
B02395,3,ABATAR INC,UBER-ABATAR LLC,2016,35,8/21/16,8/27/16,"46,992","2,307"
B02617,1,WEITER LLC,UBER-WEITER LLC,2015,23,5/31/15,6/6/15,"79,167","1,888"
B02875,4,"SECHS-NY, LLC","UBER-SECHS-NY, LLC",2017,5,1/29/17,2/4/17,"19,443",438
B02880,4,"NEUNZEHN-NY, LLC","UBER-NEUNZEHN-NY, LLC",2016,29,7/10/16,7/16/16,"3,633",77
B02870,4,"NEUN-NY,LLC",UBER-NEUN-NY LLC,2016,12,3/13/16,3/19/16,"9,509",229
B02764,1,"DANACH-NY,LLC","UBER-DANACH-NY,LLC",2016,43,10/16/16,10/22/16,"313,175","8,289"
